
3333,	0.86,	-0.01,	-0.01,	275.00,	-4.81,	-0.06,	1396984
3333,	-0.22,	-0.57,	-0.11,	273.94,	-67.50,	-71.81,	1397002
3333,	-1.90,	0.45,	-0.57,	272.88,	-66.06,	-74.75,	1397017
3333,	-0.08,	1.00,	0.48,	272.69,	-0.06,	-0.06,	1397033
3333,	1.32,	0.13,	0.94,	272.13,	-65.75,	-75.87,	1397051
3333,	1.29,	0.52,	-2.79,	272.13,	-66.00,	-76.00,	1397067
3333,	0.35,	-0.60,	0.91,	271.69,	-65.75,	-76.87,	1397084
3333,	1.87,	1.59,	0.34,	271.00,	-66.25,	-78.06,	1397103
3333,	0.46,	-0.24,	0.25,	271.50,	-67.25,	-79.44,	1397118
3333,	-0.32,	-0.62,	0.09,	271.69,	-67.62,	-80.12,	1397135
3333,	-0.07,	-1.00,	-0.55,	272.56,	-68.56,	-82.12,	1397153
3333,	0.55,	0.14,	-0.12,	273.19,	-70.00,	-83.12,	1397169
3333,	0.14,	-0.20,	-0.59,	273.31,	-70.75,	-83.37,	1397185
3333,	-0.12,	0.22,	-0.62,	273.88,	-71.94,	-85.37,	1397203
3333,	0.07,	0.27,	0.00,	274.88,	-73.12,	-90.50,	1397219
3333,	0.21,	0.65,	0.09,	275.31,	-73.56,	-92.75,	1397235
3333,	-0.12,	-0.96,	-0.61,	276.31,	-74.00,	-96.75,	1397254
3333,	0.38,	-0.64,	-0.66,	276.94,	-74.31,	-99.94,	1397269
3333,	-0.35,	-0.28,	-0.31,	277.19,	-74.56,	-101.50,	1397285
3333,	-0.39,	-0.46,	-0.41,	277.69,	-75.06,	-104.44,	1397304
3333,	0.30,	-0.04,	0.23,	278.00,	-75.81,	-107.69,	1397319
3333,	0.80,	-0.09,	0.33,	278.25,	-76.25,	-109.81,	1397336
3333,	-0.32,	-0.71,	-0.28,	278.63,	-76.94,	-112.50,	1397354
3333,	0.11,	-0.14,	-0.10,	278.81,	-77.44,	-115.50,	1397369
3333,	0.43,	-0.46,	-0.40,	278.94,	-77.50,	-117.00,	1397386
3333,	0.32,	-0.05,	-0.22,	279.44,	-77.75,	-121.62,	1397403
3333,	0.36,	0.12,	-0.01,	280.19,	-77.75,	-128.38,	1397420
3333,	-0.54,	-0.54,	-0.26,	280.75,	-77.62,	-132.19,	1397436
3333,	-0.45,	0.35,	0.32,	281.81,	-77.19,	-140.13,	1397453
3333,	0.34,	0.03,	0.30,	282.69,	-76.25,	-147.50,	1397470
3333,	0.72,	-0.17,	0.17,	282.94,	-75.69,	-150.25,	1397486
3333,	0.29,	-0.46,	-0.12,	282.94,	-74.50,	-153.88,	1397504
3333,	0.17,	-0.75,	-0.33,	282.19,	-73.00,	-156.50,	1397520
3333,	0.54,	-0.37,	-0.41,	281.50,	-71.87,	-157.81,	1397536
3333,	0.31,	-0.07,	-0.22,	280.25,	-68.75,	-160.56,	1397554
3333,	0.39,	-0.04,	-0.10,	279.44,	-64.75,	-163.50,	1397570
3333,	0.86,	-0.01,	-0.48,	279.38,	-62.38,	-165.13,	1397585
3333,	0.43,	-0.24,	-0.24,	279.75,	-56.94,	-168.38,	1397604
3333,	0.49,	-0.68,	-0.83,	279.75,	-53.56,	-169.69,	1397620
3333,	0.17,	-0.61,	-0.68,	280.00,	-52.00,	-170.44,	1397636
3333,	0.28,	-0.03,	-0.26,	280.50,	-48.63,	-171.75,	1397654
3333,	0.77,	-0.70,	-0.50,	280.69,	-45.75,	-172.69,	1397670
3333,	0.86,	-0.42,	-0.28,	294.63,	-44.56,	-173.13,	1397686
3333,	0.21,	-0.08,	0.01,	294.38,	-42.06,	-173.94,	1397704
3333,	0.81,	0.01,	0.12,	294.06,	-39.88,	-174.50,	1397721
3333,	0.68,	0.07,	0.31,	293.88,	-38.94,	-174.81,	1397736
3333,	0.92,	-0.67,	-0.20,	293.56,	-36.69,	-175.44,	1397754
3333,	0.26,	-0.31,	-0.37,	292.94,	-34.63,	-176.31,	1397770
3333,	-0.30,	0.26,	-0.22,	292.56,	-33.56,	-176.69,	1397786
3333,	0.28,	-0.23,	-0.24,	291.94,	-31.50,	-177.50,	1397805
3333,	0.00,	-0.30,	-0.72,	291.38,	-30.06,	-178.06,	1397820
3333,	-0.11,	0.05,	-0.28,	291.19,	-29.69,	-178.25,	1397836
3333,	0.74,	-0.02,	0.36,	291.06,	-29.19,	-178.50,	1397855
3333,	0.33,	-0.38,	-0.62,	291.19,	-28.75,	-179.06,	1397870
3333,	0.21,	-0.34,	-0.57,	291.44,	-28.62,	-179.38,	1397886
3333,	-0.02,	0.42,	0.00,	292.06,	-28.12,	179.75,	1397905
3333,	0.80,	-0.09,	-0.17,	292.31,	-27.69,	178.88,	1397920
3333,	1.55,	-0.87,	0.00,	292.31,	-27.37,	178.44,	1397937
3333,	0.36,	-0.12,	-0.18,	292.44,	-26.19,	177.94,	1397955
3333,	0.31,	0.61,	0.45,	292.50,	-24.69,	177.31,	1397970
3333,	0.25,	0.53,	0.11,	292.63,	-23.94,	176.94,	1397987
3333,	0.71,	-0.27,	-0.24,	292.69,	-22.25,	176.44,	1398005
3333,	0.32,	0.04,	-0.44,	292.88,	-20.75,	176.44,	1398021
3333,	0.85,	-0.11,	-0.07,	292.88,	-19.87,	176.56,	1398037
3333,	-0.12,	-0.28,	-0.75,	292.38,	-18.06,	176.56,	1398055
3333,	0.62,	-0.04,	-0.23,	292.13,	-16.69,	176.25,	1398071
3333,	0.37,	-0.04,	-0.30,	292.06,	-15.81,	176.00,	1398087
3333,	0.53,	-0.18,	-0.12,	291.94,	-14.00,	175.63,	1398105
3333,	0.26,	-0.01,	-0.30,	292.00,	-12.00,	175.19,	1398121
3333,	0.57,	-0.16,	-0.25,	292.13,	-10.81,	175.00,	1398137
3333,	0.61,	-0.06,	-0.33,	292.25,	-7.94,	174.81,	1398155
3333,	0.17,	0.28,	-0.01,	292.00,	-4.69,	174.56,	1398171
3333,	0.36,	0.19,	0.21,	292.06,	-3.13,	174.63,	1398188
3333,	0.56,	-0.14,	0.00,	292.38,	0.00,	174.69,	1398205
3333,	0.45,	-0.33,	-0.67,	292.69,	3.81,	174.63,	1398221
3333,	0.33,	-0.07,	-0.62,	292.63,	6.06,	174.56,	1398237
3333,	0.52,	0.30,	0.20,	292.50,	11.00,	174.19,	1398255
3333,	0.56,	-0.36,	-0.03,	292.75,	16.00,	173.63,	1398272
3333,	0.42,	-0.42,	-0.19,	292.75,	18.00,	173.25,	1398287
3333,	0.97,	-0.89,	-0.22,	292.69,	21.87,	172.56,	1398305
3333,	0.33,	0.08,	-0.04,	292.31,	25.69,	171.94,	1398322
3333,	0.64,	0.11,	-0.22,	292.00,	27.56,	171.94,	1398337
3333,	0.49,	-0.81,	0.18,	291.31,	31.06,	172.06,	1398355
3333,	0.45,	-0.27,	-0.47,	290.94,	34.31,	172.13,	1398372
